CodeGeo;Commune;NbExpAgri.2010;NbExpAgri.2000;NbExpAgri.1988;UnitTravAnnu.2010;UnitTravAnnu.2000;UnitTravAnnu.1988;SuperfAgricUtilisee.2010;SuperfAgricUtilisee.2000;SuperfAgricUtilisee.1988;Cheptel.2010;Cheptel.2000;Cheptel.1988;OrientTE.2010;OrientTE2000;SurfTerreLabourable.2010;SurfTerreLabourable.2000;SurfTerreLabourable.1988;SurfCultPerme.2010;SurfCultPerme.2000;SurfCultPerme.1988;SurfTjsEnh.2010;SurfTjsEnh.2000;SurfTjsEnh.1988;Population municipale;Population comptée à part;Population totale;NbExplTub.2000;NbExplTub.2010;SurfTub.2000;SurfTub.2010;Sample
97101;Les Abymes;214;621;882;161;342;858;815;1457;2691;1210;3306;3694;Polyculture et polyélevage;Polyculture et polyélevage;398;734;1826;36;68;24;377;650;831;56 001;580;56 581;311;64;145;24;yes
97102;Anse-Bertrand;385;494;693;289;396;662;1789;1880;1932;2367;6276;5417;Cultures générales  (autres grandes cultures);Polyculture et polyélevage;1247;1018;1046;11;11;7;517;850;877;5 185;91;5 276;222;94;71;46;yes
97103;Baie-Mahault;178;339;508;185;203;443;873;1062;1481;1611;2655;1702;Polyculture et polyélevage;Polyculture et polyélevage;575;565;1078;86;82;76;208;410;319;30 547;522;31 069;101;39;39;21;no
97104;Baillif;115;203;333;219;341;403;440;674;743;550;982;1040;Fruits et autres cultures permanentes;Fruits et autres cultures permanentes;115;191;222;167;329;340;152;152;179;5 670;131;5 801;57;35;20;17;yes
97105;Basse-Terre;4;3;5;50;35;19;171;173;104;100;18;32;Cultures générales  (autres grandes cultures);Fruits et autres cultures permanentes;s;113;95;0;s;1;s;s;8;10 787;262;11 049;s;s;s;s;yes
97106;Bouillante;36;71;142;35;45;127;108;122;250;339;118;165;Polyculture et polyélevage;Polyculture et polyélevage;22;60;73;58;49;152;19;6;24;7 412;116;7 528;27;15;15;6;no
97107;Capesterre-Belle-Eau;327;676;934;1007;2068;2158;2486;3559;3606;1080;1252;2129;Fruits et autres cultures permanentes;Fruits et autres cultures permanentes;774;500;147;1451;2778;3292;201;243;131;19 107;208;19 315;112;46;49;19;yes
97108;Capesterre-de-Marie-Galante;586;664;684;313;608;813;1502;1481;1551;1942;3386;2391;Cultures générales  (autres grandes cultures);Cultures générales (autres grandes culture;1027;1010;10103;6;8;14;462;461;427;3 310;45;3 355;241;40;70;18;yes
97109;Gourbeyre;50;147;209;73;290;458;152;524;1048;159;440;402;Polyculture et polyélevage;Polyculture et polyélevage;47;156;220;47;288;741;32;56;79;4 149;66;4 215;31;9;24;5;no
97110;La Désirade;53;124;91;47;125;120;141;252;225;365;918;651;Polyculture et polyélevage;Polyculture et polyélevage;18;15;97;s;2;4;119;234;125;1 496;53;1 549;39;s;7;s;yes
97111;Deshaies;28;88;141;26;87;129;47;128;273;147;302;470;Polyculture et polyélevage;Polyculture et polyélevage;14;37;165;4;7;56;25;77;51;27 590;330;27 920;36;13;11;7;yes
97112;Grand-Bourg;675;851;1018;371;698;988;1627;1941;1960;3630;4764;4289;Cultures générales  (autres grandes cultures);Cultures générales (autres grandes culture;907;1149;1345;7;8;13;706;782;581;7 803;183;7 986;186;53;51;11;no
97113;Le Gosier;88;322;570;85;204;474;176;560;944;524;1455;2826;Polyculture et polyélevage;Polyculture et polyélevage;22;115;245;4;7;14;147;431;672;7 612;149;7 761;152;42;73;18;yes
97114;Goyave;90;191;304;157;358;352;480;794;797;656;593;954;Fruits et autres cultures permanentes;Fruits et autres cultures permanentes;120;179;120;209;422;464;144;183;207;5 273;136;5 409;64;26;48;23;yes
97115;Lamentin;250;404;664;293;236;1004;1688;1662;1691;957;1840;2154;Cultures générales  (autres grandes cultures);Polyculture et polyélevage;1381;1226;1150;74;56;126;215;358;365;15 958;355;16 313;111;48;44;28;no
97116;Morne-à-l'Eau;422;717;895;307;516;850;1558;2001;1979;3584;5010;4671;Polyculture et polyélevage;Polyculture et polyélevage;715;701;889;31;23;28;805;1270;1049;17 225;279;17 504;293;95;115;49;yes
97117;Le Moule;796;1061;1245;732;976;1680;3446;4292;4272;4808;8140;7958;Cultures générales  (autres grandes cultures);Polyculture et polyélevage;2027;2178;2505;29;42;24;1279;2062;1734;22 101;303;22 404;223;145;91;83;yes
97118;Petit-Bourg;230;467;535;284;533;772;787;1463;1765;1799;3318;2584;Polyculture et polyélevage;Polyculture et polyélevage;361;652;848;153;196;318;250;596;583;23 994;513;24 507;224;86;125;51;no
97119;Petit-Canal;592;709;742;495;655;1034;3160;3377;2941;2448;4688;4044;Cultures générales  (autres grandes cultures);Polyculture et polyélevage;2259;1772;2047;104;211;8;763;1393;881;8 112;150;8 262;238;75;104;59;yes
97120;Pointe-à-Pitre;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;16 261;166;16 427;38;10;16;7;yes
